name,cause of death,born,died,comments
Edmund Purdom (actor/singer),Heart failure. ,"December 19, 1924","January 1, 2009",Starred in some big '50s movies like The Student Prince and The Egyptian; lived much of his life dubbing Italian movies into English.  IBDB  IMDb  FindAGrave
Helen Suzman (politician/anti-apartheid activist),,"November 7, 1917","January 1, 2009","Member of the South African Parliament for decades, fought racism and befriended Nelson Mandela while he was a political prisoner, aunt of Janet Suzman.  Home Page  Obituary"
Pat Hingle (actor),Myelodysplasia. ,"July 19, 1924","January 3, 2009","Many movies, Commissioner Gordon in the '80s and '90s series of Batman movies, was supposed to play the lead in Elmer Gantry but an injury forced him out.  IBDB  IMDb  Obituary  FindAGrave"
Cheryl Holdridge (actress),Lung cancer. ,"June 20, 1944","January 5, 2009","A Mouseketeer in the '50s, she appeared in many '50s and '60s TV shows and played one of Wally's girlfriends on Leave It To Beaver.  IMDb  Obituary  FindAGrave"
Don Galloway (actor),Stroke. ,"July 27, 1937","January 8, 2009","Ironside, The Big Chill.  IMDb  Obituary"
Rob Gauntlett (adventurer),Mountain climbing accident. ,"May 10, 1987","January 10, 2009","Climbed Mt. Everest when he was 19, traveled pole-to-pole when he was 21, named National Geographic Adventurer of the Year Award for 2008 with his travel partner James Hooper.  Home Page  Obituary"
Patrick McGoohan (actor),,"March 19, 1928","January 13, 2009","Best known for the original TV show The Prisoner, also appeared in Braveheart.  IBDB  IMDb  Obituary"
Ricardo Montalban (actor),,"November 25, 1920","January 14, 2009","Fantasy Island, memorable as Khan in Star Trek.  IMDb"
Andrew Wyeth (artist),,"July 12, 1917","January 16, 2009","""Christina's World,"" the Helga series and many other fine paintings.  Home Page  IMDb  Obituary  FindAGrave"
Bob May (actor/robot driver),Congestive heart failure. ,"September 4, 1939","January 18, 2009","The man who operated the robot in Lost in Space, but not the voice, who died 3 years after Bob.  Home Page  IMDb  Obituary"
James Brady (writer),,circa 1928,"January 22, 2009","Celebrity columnist who started The Post's ""Page Six,"" wrote Parade's ""In Step With"" for over 25 years and wrote about Korea and World War II.  Obituary"
John Updike (writer),Lung cancer. ,"March 18, 1932","January 27, 2009","Author of the Rabbit books and The Witches of Eastwick, won two Pulitzer Prizes.  Home Page  IMDb  Obituary"
James Whitmore (actor),Lung cancer. ,"October 1, 1921","February 6, 2009","Bit parts in many movies, pitched Miracle Grow, married to Audra Lindley during the '70s, starred as Harry Truman in Give 'em Hell, Harry.  IBDB  IMDb  Obituary"
Blossom Dearie (singer/pianist),,"April 19, 1926","February 7, 2009","Longtime jazz performer (""Peel Me a Grape"") who performed serveral songs for Schoolhouse Rock.  IMDb  Obituary  FindAGrave"
Robert Anderson (playwright),Pneumonia/Alzheimer's. ,"April 28, 1917","February 9, 2009","Wrote Tea and Sympathy, I Never Sang for My Father, former husband of Teresa Wright. Make memorial contributions to: Dramatists Guild Fund or Taub Institute for Research on Alzheimer's Disease.  IBDB  IMDb  Obituary"
Estelle Bennett (singer),Colon cancer. ,"July 22, 1941","February 11, 2009","One of The Ronettes (""Be My Baby""), inducted into the Rock 'n' Roll Hall of Fame in 2007.  IMDb  Obituary  FindAGrave"
Louie Bellson (drummer),Parkinson's Disease. ,"July 6, 1924","February 14, 2009","Drummer for the great bands (Duke Ellington), Bellson married Pearl Bailey and served as her music director, frequent guest on The Tonight Show, vice president of Remo Drums.  Home Page  Home Page  IMDb  Obituary  FindAGrave"
John McGlinn (conductor/music historian),Heart attack. ,"September 18, 1953","February 14, 2009","Restored music removed from old musicals, like Showboat (""Mis'ry"") and Annie Get Your Gun.  IBDB  IMDb  Obituary"
Dr. Eugenia Calle (epidemiologist),Murder. ,circa 1952,"February 17, 2009","A former vice president of the American Cancer Society, her research work linked estrogen plus progestin and obesity to increased cancer risks.  Home Page  Obituary"
Howard Zieff (director),Parkinson's disease. ,"October 21, 1927","February 22, 2009","Director of Private Benjamin and classic commercials like the ""Spicy meatball"" ad for Alka-Seltzer.  IMDb  Obituary  FindAGrave"
Philip Jose Farmer (writer),,"January 26, 1918","February 25, 2009","Award-winning SF writer, probably best-known for the Riverworld series, he also wrote one book as Kilgore Trout.  Home Page  IMDb  Obituary"
Wendy Richard (actress),Cancer. ,"July 20, 1943","February 25, 2009","Miss Brahms in Are You Being Served?, Pauline in Eastenders, announced she had terminal bone cancer in October 2008.  IMDb  Obituary  FindAGrave"
Paul Harvey (radio broadcaster),,"September 4, 1918","February 28, 2009","""And now you know the rest of the story...""  Home Page"
Horton Foote (writer),,"March 14, 1916","March 4, 2009","Adapted To Kill a Mockingbird for the screen, wrote Tender Mercies.  Home Page  IBDB  IMDb  Obituary"
Jimmy Boyd (singer/actor),Cancer. ,"January 9, 1939","March 7, 2009","Singer for the original release of ""I Saw Mommy Kissing Santa Claus"", bit parts including Howard in Bachelor Father and Inherit the Wind, first husband of Yvonne Craig.  IMDb  Obituary"
Lenore Annenberg (Philanthropist),,"February 20, 1918","March 12, 2009","US Chief of Protocol under Reagan, trustee of the Annenberg Foundation.  Home Page  Obituary"
Betsy Blair (actress),Cancer. ,"December 11, 1923","March 13, 2009","Oscar-nominated as Clara in Marty (partially blacklisted during the '50s due to her politics), married to actor Gene Kelly and later to director Karel Reisz.  IBDB  IMDb  Obituary"
Ron Silver (actor),Esophageal cancer. ,"July 2, 1946","March 15, 2009","Versatile actor, was on The West Wing, Veronica's Closet and played Alan Dershowitz in Reversal of Fortune, won a Tony Award for Speed-the-Plow, became a Republican activist after 9/11.  IBDB  IMDb  Obituary"
Natasha Richardson (actress),[rumors] Following a head injury suffered during a skiing accident. ,"May 11, 1963","March 18, 2009","Tony-winning actress (for the 1998 revival of Cabaret), starred in The Handmaid's Tale, appeared with her mother Vanessa Redgrave in Evening, was married to Liam Neeson for nearly 15 years. Make memorial contributions to: amfAR - The Foundation for AIDS Research.  IBDB  IMDb  Obituary  FindAGrave"
"""England"" Dan Seals (singer)",Lymphoma. ,"February 8, 1948","March 25, 2009","Part of the duo England Dan and John Ford Coley, best-known for ""I'd Really Love to See You Tonight"".  IMDb  Obituary  FindAGrave"
Irving R. Levine (newscaster),,"August 26, 1922","March 26, 2009",NBC newscaster for 45 years.  IMDb  Obituary
Maurice Jarre (composer),,"September 13, 1924","March 29, 2009","Won Oscars for the scores for A Passage to India, Dr. Zhivago, Lawrence of Arabia, also scored Ghost and Witness.  Home Page  IBDB  IMDb  Obituary"
Andy Hallett (actor),Heart failure. ,"August 4, 1975","March 29, 2009","The green, singing demon Lorne on Angel.  IMDb  Obituary"
Jody McRea (actor),Cardiac arrest. ,"September 6, 1934","April 4, 2009","Bit parts in many '50s and '60s movies, noteably Bonehead in several of the ""Frankie and Annette"" beach flicks.  IMDb  FindAGrave"
Dave Arneson (game creator/teacher),Cancer. ,"October 1, 1947","April 7, 2009",Co-creator of Dungeons and Dragons with Gary Gygax.  Home Page  IMDb  Obituary
Jack Wrangler (Theater producer/porn actor),Emphysema. ,"July 11, 1946","April 7, 2009","Gay icon for starring in movies like The Devil in Miss Jones: Part II, he went on to produce cabaret shows for his wife, Margaret Whiting.  IBDB  Obituary"
Marilyn Chambers (model/adult star),,"April 22, 1952","April 12, 2009","Appeared on the Ivory Snow detergent box in the early '70s before starring in the porn classic Behind the Green Door, was married to Linda Lovelace's ex-husband for a while.  IMDb  Obituary"
Mark Fidrych (pitcher/farmer),Truck accident. ,"August 14, 1954","April 13, 2009","Pitcher for the Detroit Tigers. (Yeah, I know, I don't tend to add athletes, but Mark and I used to hang out at the same donut place in Northboro in the late '80s and early '90s.)  IMDb  Obituary  FindAGrave"
J. G. Ballard (author),Prostate cancer. ,"November 15, 1930","April 19, 2009",Empire of the Sun (novel/movie based on his life in a Japanese internment camp) and A User's Guide to the Millennium among many others.  Home Page  IMDb  Obituary AwardWeb
Bea Arthur (actress),Cancer. ,"May 13, 1923","April 25, 2009","Maude, The Golden Girls.  Home Page  IBDB  IMDb  Obituary"
Danny Gans (comic/impersonator),Heart disease/prescription drug overdose. ,"October 25, 1956","May 1, 2009","One of the mainstays of Vegas, he had a bit part in Bull Durham. Make memorial contributions to: Nevada Childhood Cancer Foundation.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Marilyn French (writer),,"November 21, 1929","May 2, 2009",The Women's Room  IMDb  Obituary
Dom DeLuise (comic actor/cook),,"August 1, 1933","May 4, 2009",Blazing Saddles.  Home Page  IBDB  IMDb
David Eddings (writer),,"July 7, 1931","June 2, 2009",Co-wrote large fantasy series including the Belgariad and the Malloreon.  Home Page
David Carradine (actor),Reported asphyxiation. ,"December 8, 1936","June 3, 2009","Kill Bill, Kung Fu, many other TV Westerns, and a surprising number of movie bit parts in the years before he died.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
John Houghtaling (inventor),Complications of a fall. ,"November 14, 1916","June 17, 2009","Invented ""The Magic Fingers,"" a coin-operated vibrating bed later installed in motels across America during the '50s and '60s.  Obituary"
Lorena Gale (actress/playwright),Stomach cancer. ,"May 9, 1958","June 21, 2009","Many TV bit parts (especially on Canadian TV), probably best-known as Elosha on Battlestar Galactica. Make memorial contributions to: Vancouver General Hospital Palliative Care Center  IMDb  Obituary"
Jerri Nielsen Fitzgerald (doctor/speaker),Cancer. ,"March 1, 1952","June 23, 2009","Doctor who performed a breast biopsy on herself while stationed in Antarctica in 1999, later wrote Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole.  IMDb  Obituary  FindAGrave"
Ed McMahon (announcer),Pneumonia/cancer. ,"March 6, 1923","June 23, 2009","The Tonight Show announcer during the Carson years, famous for greeting him with ""Heeeeeeeeeeeere's Johnnny!"", later, a spokesperson for American Family Publishing.  Home Page  IMDb  Obituary  Obituary  FindAGrave"
Farrah Fawcett (actress/model),Cancer. ,"February 2, 1947","June 25, 2009","Charlie's Angels, subject of a huge poster craze in the '70s, many made-for-TV movies, longtime companion of Ryan O'Neal, ex-wife of Lee Majors.  IBDB  IMDb  Obituary  FindAGrave"
Michael Jackson (singer/songwriter),Cardiac arrest due to a combination of prescribed drugs including propofol (his doctor was later convicted of involuntary manslaughter). ,"August 29, 1958","June 25, 2009","Wildly eccentric performer, youngest member of the Jackson 5, major pop icon of the '80s (""Thriller"", ""Billie Jean""), married briefly to Lisa Marie Presley, taken to court several times on child molestation charges (acquitted multiple times), died three days before and at the same age as Billy Mays.  Home Page  IMDb  Obituary  FindAGrave"
Gale Storm (actress),,"April 5, 1922","June 27, 2009","My Little Margie, The Gale Storm Show; her autobiography was called I Ain't Down Yet.  IMDb  Obituary"
Billy Mays (pitchman),Heart attack/cocaine. ,"July 20, 1958","June 28, 2009","The spokesguy for OrangeGlo, Oxiclean and dozens of other products, starred in cable's Pitchmen.  Home Page  IMDb  Obituary"
Fred Travalena (impersonator/comic/cartoon voice),Cancer. ,"October 6, 1942","June 28, 2009","Frequent late-night guest, probably best-known for mimicking Frank Sinatra.  Home Page  IMDb  Obituary"
Harve Presnell (actor/singer),Pancreatic cancer. ,"September 14, 1933","June 30, 2009",The Unsinkable Molly Brown  IMDb
Jan Rubes (actor),,"June 6, 1920","June 30, 2009",The grandfather in Witness  IMDb
Karl Malden (actor),,"March 22, 1912","July 1, 2009","On the Waterfront, A Streetcar Named Desire, The Streets of San Francisco and many commercials for American Express.  IBDB  IMDb  Obituary"
Mollie Sugden (actress),[rumors] ,"July 21, 1922","July 1, 2009","Popular for her ""feline"" comments as Mrs. Slocombe in Are You Being Served?.  IMDb"
Allen Klein (music agent/movie producer),Alzheimer's. ,"December 18, 1931","July 4, 2009","Early manager of Bobby Darrin, Sam Cooke, the Rolling Stones and the last manager of The Beatles.  IMDb  Obituary"
Robert McNamara (secretary of defense),,"June 9, 1916","July 6, 2009","Secretary of Defense during the Viet Nam war, subject of The Fog of War.  IMDb  Obituary"
Charles N. Brown (editor),,"June 24, 1937","July 12, 2009","Inventor of Locus, the first science fiction newszine, its publisher for 40 years, and winner of many Hugo awards.  Home Page  Obituary"
Phyllis Gotlieb (writer),,"May 26, 1926","July 14, 2009","Author of poetry and science fiction, including Sunburst, and A Judgment of Dragons which won the first Aurora Award. Make memorial contributions to: The Benjamin Foundation.  Home Page  Obituary"
Walter Cronkite (newscaster),,"November 4, 1916","July 17, 2009","Longtime CBS evening newscaster, worked on reporting the Kennedy assassination and the first moon landing.  IMDb"
Frank McCourt (Writer/teacher),Meningitis. ,"August 19, 1930","July 19, 2009",Angela's Ashes  IMDb  Obituary
Corazon Aquino (Former Phillipine president),Colon cancer. ,"January 25, 1933","August 1, 2009","Became the first woman president of the Phillipines after the assassination of her husband, Benigno Aquino, Jr., son Noynoy (Benigno III) later became president.  twitter  IMDb  Obituary  FindAGrave"
